               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0741,            0.034057,                   0,             0.55995,             0.53709,             0.47255,             0.20842,             0.06006,            0.016718,                   0,            0.070366,           0.0032927,           0.0032927
                   1,            0.055597,            0.023092,                   0,              0.7002,             0.74313,             0.72444,             0.37478,            0.048169,            0.011742,                   0,             0.03971,             0.00597,             0.00597
                   2,            0.050557,            0.019383,                   0,              0.4953,             0.71703,             0.57264,             0.29052,            0.051614,           0.0094188,                   0,           0.0083939,           0.0079874,           0.0079874
                   3,            0.041051,            0.016436,                   0,             0.90429,             0.83791,             0.90123,             0.40901,            0.042041,           0.0087979,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.036429,            0.014542,                   0,             0.80833,             0.86897,             0.86277,              0.4781,            0.035655,           0.0082745,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.031023,            0.013556,                   0,             0.91529,              0.9011,             0.92953,             0.57326,             0.02952,           0.0076362,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.026698,            0.012821,                   0,             0.93052,             0.90385,             0.94005,             0.57782,            0.028441,           0.0074225,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.023621,            0.012037,                   0,             0.96109,             0.91758,              0.9492,             0.67509,            0.022756,           0.0068544,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.020873,            0.011375,                   0,             0.96246,             0.92033,             0.94974,             0.71837,            0.020759,           0.0066115,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.018278,            0.011112,                   0,             0.96004,              0.9241,             0.94848,             0.71495,            0.020427,           0.0064972,                   0,             0.00208,             0.00208,             0.00208
